model,auc_roc,pr_auc,accuracy,training_time
Uniform - StandardScaler,0.8045453184865899,0.5243931134488691,0.823076923076923,0.12441849708557129
Uniform - MinMaxScaler,0.8046875,0.5248720806856598,0.8223076923076923,0.1984703540802002
Uniform - RobustScaler,0.8042048311781609,0.5295743883843153,0.8238461538461539,0.1383037567138672
Uniform - MaxAbsScaler,0.7995839319923371,0.528032627302596,0.8246153846153846,0.2034592628479004
Adaptive Scaling,0.8048409063697318,0.5250715602591028,0.823076923076923,0.2756936550140381
Uniform Ensemble,0.8041412236590039,0.5322619083197417,0.8246153846153846,4.155228853225708
