scaler,accuracy,auc_roc,pr_auc,precision,recall,f1,best_C,training_time
standard,0.823076923076923,0.804754849137931,0.5247785006383477,0.6181818181818182,0.265625,0.37158469945355194,1.0,1.3903083801269531
minmax,0.823076923076923,0.8047997485632183,0.5249218231219481,0.6226415094339622,0.2578125,0.36464088397790057,100.0,0.985518217086792
robust,0.8223076923076923,0.8049157387452107,0.5256731478624395,0.6146788990825688,0.26171875,0.36712328767123287,10.0,0.9491338729858398
maxabs,0.8253846153846154,0.8002686482279693,0.5277143697142451,0.6593406593406593,0.234375,0.345821325648415,10.0,0.812835693359375
