Approach,Strategy,N_Models,AUC-ROC,PR AUC,Accuracy
Best Single Model,Robust + C=100.0,1,0.8050092792145593,0.5256897950209147,0.8223076923076923
Uniform Ensemble,All scaler×C combinations,24,0.8022517061781609,0.5357368011623302,0.8238461538461539
Performance-Weighted,Softmax weights by AUC,24,0.8022517061781609,0.5357633134940125,0.8238461538461539
Best-at-C Ensemble,Adaptive scaler per C,6,0.8043133381226054,0.5340196438800965,0.8215384615384616
Top-6 Ensemble,Best performing models,6,0.8048409063697317,0.525322997436323,0.8223076923076923
