model,auc_roc,pr_auc,accuracy,training_time,best_params
Single - standard,0.804754849137931,0.5247785006383477,0.823076923076923,1.041817545890808,
Single - minmax,0.8047997485632183,0.5249218231219481,0.823076923076923,1.041817545890808,
Single - robust,0.8049157387452107,0.5256731478624395,0.8223076923076923,1.041817545890808,
Single - maxabs,0.8002686482279693,0.5277143697142451,0.8253846153846154,1.041817545890808,
Uniform Ensemble,0.8041412236590039,0.5322619083197417,0.8246153846153846,4.167270183563232,
Random Forest,0.916440298730843,0.786116528113957,0.8861538461538462,13.916261672973633,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Gradient Boosting,0.8792504789272031,0.6884171745300616,0.8607692307692307,10.715924739837646,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}"
